id,name,price,description,badge,category,brand,image
1,BUENO CHOCO,$0.70,KINDER BUENO CHOCO 39G*30,HOT SALE,Snacks,Kinder,image0244.jpg
2,BUENO WHITE,$0.70,KINDER BUENO WHITE 39G*30,,Candies,Kinder,image0245.jpg
3,4FINGER,$0.90,KINDER 4FINGER 50G*20,HOT SALE,Candies,Kinder,image0246.jpg
4,DELICE PCK OF 10,$5.75,KINDER DELICE PCK OF 10,,Drinks,Kinder,image0247.jpg
5,TRIS 5PACK,$4.75 ,KINDER TRIS 5PACK,,Candies,Kinder,image0248.jpg
6,CARDS*5,$2.99 ,KINDER CARDS*5,,Candies,Kinder,image0249.jpg
7,HAPPY HIPPO CHOCO,$0.56 ,KINDER HAPPY HIPPO CHOCO 20.7G*28,,Candies,Kinder,image0250.jpg
8,HAPPY HIPPO HAZELNUT,$0.56 ,KINDER HAPPY HIPPO HAZELNUT 20.7G*28,-10% OFF,Drinks,Kinder,image0251.jpg
9,JOY TWEETY,$0.83 ,KINDER JOY TWEETY,,Candies,Kinder,image0252.jpg
10,JOY SPIDERMAN,$0.83 ,KINDER JOY SPIDERMAN,,Candies,Kinder,image0253.jpg
11,JOY BOY & GIRL,$0.83 ,KINDER JOY BOY & GIRL,,Drinks,Kinder,image0254.jpg
12,CREAMY MILKY,$0.38 ,KINDER CREAMY MILKY 19G*24 PROMO,,Candies,Kinder,image0255.jpg
13,BUENO MINI BAG,$2.99 ,KINDER BUENO MINI BAG 108G*16,,Candies,Kinder,image0256.jpg
14,BISCUIT,$0.75 ,NUTELLA BISCUIT 41.4G,,Candies,Nutella,image0257.jpg
15,& GO!,$1.45 ,NUTELLA & GO! 52G*12,,Snacks,Nutella,image0258.jpg
16,MINI JAR,$0.80 ,NUTELLA MINI JAR 25G*64,HOT SALE,Chocolates,Nutella,image0259.jpg
17,JAR,$6.25 ,NUTELLA JAR 630G*6,,Snacks,Nutella,image0260.jpg
18,DUO VANILLA,$3.15 ,GULLON DUO VANILLA 500G,,Snacks,Gullon,image0190.jpg
19,CHOCO CACAO,$3.15 ,GULLON CHOCO CACAO 500G,HOT SALE,Drinks,Gullon,image0191.jpg
20,CHOCO,$3.15 ,GULLON CHOCO 500G,-10% OFF,Drinks,Gullon,image0192.jpg
21,CHOCO,$1.00 ,GULLON CHOCO 145G,,Drinks,Gullon,image0193.jpg
22,TOBLERONE,$0.75 ,TOBLERONE 35G,,Drinks,Toblerone,image0194.jpg
23,MINIS CHOCO,$2.99 ,SNICKERS MINIS CHOCO 227G*24,,Chocolates,Snickers,image0195.jpg
24,BAG,$6.75 ,MINIS BAG 500G*24,,Drinks,Minis,image0196.jpg
25,CRUNCHIE 4PK BAR,$2.65 ,CAD CRUNCHIE 4PK BAR 32G,,Chocolates,CADBURY,image0197.jpg
26,BOOST 4BARS,$2.65 ,CAD BOOST 4BARS 37G,,Candies,CADBURY,image0198.jpg
27,DOUBLE DECKER 4BARS,$2.65 ,CAD DOUBLE DECKER 4BARS 37.3G,,Snacks,CADBURY,image0199.jpg
28,ROLO 4TUBES,$3.50 ,NESTLE ROLO 4TUBES 41.6G,,Drinks,Nestle,image0200.jpg
29,BITES WISPA,$2.90 ,CAD BITES WISPA 100G,,Snacks,CADBURY,image0201.jpg
30,PEANUT BAG,$0.68 ,M&M'S PEANUT BAG 45G,,Drinks,M&M'S,image0202.jpg
